City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,53.24,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
2,Asind,IN,87.06,clear sky,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
3,Mehtar Lam,AF,78.3,few clouds,34.6714,70.2094,Fareed Hakamani
4,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Gusau,NG,84.92,overcast clouds,12.1628,6.6614,GUEST INN
10,Jamestown,US,42.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Buin,CL,51.84,overcast clouds,-33.7333,-70.75,Paihuen
15,Necochea,AR,62.76,heavy intensity rain,-38.5473,-58.7368,dyd -mar Hotel
16,Rikitea,PF,77.88,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Horta,PT,62.65,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
18,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
19,Seybaplaya,MX,81.18,broken clouds,19.65,-90.6667,sala de fiesta san Rafael
20,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
21,Kawalu,ID,80.19,overcast clouds,-7.3817,108.2082,West Jontor
22,Hofn,IS,40.84,scattered clouds,64.2539,-15.2082,Hótel Höfn
23,Kolokani,ML,79.39,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
24,Bluff,NZ,55.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Port Augusta,AU,67.53,clear sky,-32.5,137.7667,Majestic Oasis Apartments
28,Puerto Ayora,EC,72.7,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,San Andres,CO,80.62,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
31,Busselton,AU,60.24,few clouds,-33.65,115.3333,Observatory Guest House
33,Tuatapere,NZ,55.69,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
34,Ahipara,NZ,66.96,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
35,Kodiak,US,53.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
36,Cape Town,ZA,59.92,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Kavieng,PG,85.73,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Chancay,PE,66.38,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
40,Korla,CN,57.81,clear sky,41.7597,86.1469,Gulisitan Hotel
41,Itarema,BR,76.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
42,Castro,BR,62.78,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
43,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Boyolangu,ID,83.23,overcast clouds,-8.1181,111.8935,Yos ega cv
48,Tecoanapa,MX,81.68,scattered clouds,16.5167,-98.75,Hotel Manglares
49,Arraial Do Cabo,BR,76.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,Roma,US,47.37,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
51,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Ancud,CL,45.82,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
53,East London,ZA,62.28,light rain,-33.0153,27.9116,Tu Casa
54,Ribeira Grande,PT,63.23,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
55,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
56,Hermanus,ZA,50.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
57,Concarneau,FR,50.83,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
58,Vung Tau,VN,84.52,overcast clouds,10.346,107.0843,Seaside Resort
61,Comodoro Rivadavia,AR,44.46,clear sky,-45.8667,-67.5,Austral Hotel
62,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
64,Los Llanos De Aridane,ES,58.75,few clouds,28.6585,-17.9182,Valle Aridane
65,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
67,Houma,US,71.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
71,Gonen,TR,57.16,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
72,Kruisfontein,ZA,49.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
73,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,Puerto Lempira,HN,75.83,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
76,Daru,PG,85.8,overcast clouds,-9.0763,143.2092,Daru Lodge
77,Pisco,PE,67.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
80,Wanning,CN,85.6,clear sky,18.8003,110.3967,Paradise Hotel
81,Chuy,UY,69.03,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Saint George,US,81.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Rovinj,HR,53.42,clear sky,45.08,13.64,Hotel Monte Mulini
85,Norman Wells,CA,41.04,few clouds,65.282,-126.8329,Heritage Hotel
